sample_id,lat,lon,split
0,38.939961664186285,-123.25234650371759,train
1,33.3398374697613,-117.10241343997305,train
2,38.10075556716809,-123.69627111121004,train
3,40.74786150907125,-117.33653190138749,test
4,36.989421598564675,-117.17215161834093,train
5,33.18999906450902,-118.31196535030324,train
6,37.406112595907,-121.72640014055409,train
7,38.770237198853266,-122.69604030044584,train
8,40.53969367946465,-123.99871289062752,train
9,41.68443412434005,-120.93995871361832,train
10,35.85390248491212,-116.88633462925932,test
11,40.12147744329508,-119.10391613885446,train
12,38.00478151282171,-122.43017717274829,train
13,36.314054037661585,-117.7085344459251,test
14,36.14378354341161,-120.96068883210992,train
15,40.036702946039775,-123.69714292412276,test
16,38.07530401969167,-120.17257639498658,train
17,32.389872712478365,-117.81794069189576,train
18,35.897349785197406,-115.69103406924675,train
19,36.6396174947443,-121.7266540312989,train
20,36.88093632310501,-114.94947015478793,train
21,38.24328832586511,-121.02028434635278,train
22,38.93185344590732,-119.81005738089014,train
23,38.997568516071745,-118.99491779406846,train
24,41.41002763689487,-121.57364511853626,train
25,40.904142932163694,-115.81644217535504,train
26,33.71146017570528,-118.26318507501486,train
27,35.976919753442445,-123.07619211360432,train
28,37.87862540215723,-123.21440638212397,test
29,37.39673016974269,-119.13223403795091,train
30,32.591448320044364,-120.44145233775629,train
31,33.61897727964704,-120.92568783572466,train
32,34.96230171940394,-122.90296854021305,test
33,37.85981636311977,-118.56242525393196,train
34,41.41079832506703,-114.5254572617763,train
35,35.91897141747599,-115.69185607210433,test
36,39.382273610187156,-118.10543765143318,train
37,41.82024558045259,-114.52415289919341,train
38,33.41873072093718,-114.08676225700758,train
39,34.21769213271295,-119.20966764803174,val
40,39.70386320452516,-122.23231704676957,train
41,35.338294477556566,-114.82253721860667,train
42,38.26734893646916,-117.64057174286734,train
43,34.84281880444428,-123.14693486092948,train
44,36.30350497454781,-116.78362448116066,train
45,40.714345945023965,-120.84585561789663,test
46,40.150763132144874,-119.61575687460942,train
47,38.6371908519572,-123.31233831137273,train
48,35.513866177093675,-119.35639693413664,test
49,33.45133697563868,-119.54043812253053,train
50,41.99635211895705,-122.05746596224957,train
51,38.851340232391266,-118.21225433319941,train
52,32.03940840545645,-119.19619396513026,train
53,41.58238285567135,-122.2863762038411,train
54,35.33443265111907,-119.06367894712825,train
55,41.31239963356682,-114.95856662577215,train
56,34.78265468751763,-115.27905796256617,train
57,34.866062537152786,-119.38381838381655,val
58,35.05650364453555,-114.19392652082048,train
59,38.15115045013151,-122.32926287713575,train
60,35.869592638011774,-116.68690117348936,test
61,33.90219158867623,-120.36739263954124,train
62,35.30541254042834,-118.79781400377635,train
63,34.6383501545052,-119.69910847007633,train
64,32.52052032959626,-120.2712194273562,val
65,41.81844815346254,-120.9516252648233,train
66,38.25794495432821,-123.7114433152157,train
67,36.80426689422404,-123.1996990491745,train
68,35.7997105449789,-120.47901519168428,train
69,38.72663281904733,-116.10505000641733,train
70,34.42274507761603,-118.73160219609181,test
71,33.55398451748129,-115.90784017050849,train
72,40.504791896453526,-122.9927819604467,train
73,32.814902411316154,-123.57969236556593,train
74,39.06219862738838,-119.94513906635854,train
75,40.361798800257006,-120.40657915237016,train
76,33.430998151842324,-118.50456167302862,train
77,32.383511439508794,-121.72969305615338,train
78,33.08671113378625,-123.76168290773826,train
79,32.593222567436335,-114.08691115120504,train
80,32.68515410943499,-122.84733913457288,train
81,32.79572094171497,-116.90289053785196,train
82,41.283978378770634,-120.08994861096487,train
83,39.77234682714818,-117.62439539354985,test
84,34.93237789284311,-119.47188419619084,train
85,40.068914714654795,-122.73704757251983,train
86,35.95881770449348,-114.33150593542032,train
87,38.9778303782546,-123.69873858687214,train
88,39.75211541468074,-115.32454433785027,train
89,34.53952992032068,-116.1316300385378,train
90,32.986512870153355,-117.78405304653286,test
91,39.23495292465963,-115.95642078495594,train
92,39.49818651950275,-119.93612418544897,val
93,40.235538041459066,-116.58162027074813,train
94,37.50029322444689,-120.08300219725282,train
95,34.9928538911183,-116.32491680328089,test
96,37.29016147948991,-117.2792299263365,test
97,41.01470207237729,-123.39059136861836,train
98,39.64948939780683,-117.27895853975924,val
99,37.36168850331676,-117.89058065289625,train
100,37.75225309873443,-115.38728390074758,train
101,41.55204228287581,-114.7139856341517,train
102,40.42072497649647,-114.70665189511033,train
103,34.19318473728105,-121.85961412857294,train
104,34.58575611807539,-120.62789339921346,train
105,36.3465705160759,-117.06407334804511,train
106,41.1356874690745,-122.93618627788376,train
107,38.64220396175973,-122.01595800542593,train
108,34.557489946219675,-120.85687914029388,train
109,37.21850689119369,-117.68560596224744,train
110,37.60425062857548,-119.7076938013225,train
111,37.22310912972939,-118.91755029675032,train
112,37.635287969662954,-116.41799716479898,test
113,39.47758731353767,-118.23630006015995,train
114,38.54077216516204,-118.13691408419935,train
115,41.04516624271665,-117.8849183661978,train
116,35.68104187577984,-119.77675771793945,train
117,41.19054682763804,-119.7381817109445,train
118,36.13713338872889,-116.57245039163827,train
119,37.20161591657286,-119.70619035674262,val
120,40.95709321834407,-119.61827074779953,train
121,32.27182972710094,-121.62706173347075,train
122,37.73147088109184,-116.44693126691341,train
123,41.26066823136068,-121.02353734843183,train
124,41.418598626832434,-122.29078509216541,train
125,34.42578250115129,-119.54091012899747,test
126,36.29858716131072,-118.03288639835174,train
127,38.76795340258562,-123.11962759473789,train
128,36.67450749648808,-115.01617425291222,train
129,39.20458846975903,-117.43281362844947,train
130,33.1649056547758,-116.1224788164793,train
131,36.672295954905465,-121.81445927152846,train
132,38.90138799561007,-123.142262659781,train
133,35.85325560806705,-115.18100007623833,train
134,36.53870699270723,-123.68054561881637,train
135,41.95302757748788,-120.40809686732797,train
136,38.81596978130742,-119.84424687626561,test
137,36.699640155922786,-115.08567978485013,train
